wl_depth,impact_criterion,coupled_criterion,sserr_result,touchdown_distance,ss_max_Sxx_norm,slab_tensile_criterion,max_stress
960.0,157.33335952539454,399.7652703195794,7.120185413490901,2260.1347835834376,1.563244405162521,0.8288839949841188,0.1990274166621997
980.0,158.85957739852216,404.4737071465704,7.321026622382066,2285.802147753522,1.5485580288234957,0.8285261421849833,0.21031752978761625
1000.0,160.2021308086328,408.73922821982217,7.521965691260959,2311.3412219257634,1.5331793041252761,0.8277552420876373,0.22191909394211312
1020.0,161.36254772089163,412.87915773982104,7.72298104725598,2336.7632630846733,1.5214875003782193,0.8266587201732454,0.2338321091256899
1040.0,162.3414844784871,416.5858816473557,7.924053896189103,2362.0730987533143,1.5163955412556223,0.8252400960826304,0.24605657533834696
1060.0,163.13888884279274,420.01876594318975,8.125167799985473,2387.2710632841477,1.5102767854054546,0.8235583427738622,0.2585924925800843
1080.0,163.7541324923964,423.1805619538942,8.326308341060999,2412.354448719417,1.5032877372868332,0.8216311745878712,0.27143986085090205
1100.0,164.1861169545967,426.07348600218745,8.527462851961594,2437.318587124101,1.495533186701811,0.8194997319169679,0.2845986801507996
1120.0,164.43335662848423,428.69927590191827,8.728620194943868,2462.1576523741924,1.4871421167076317,0.8171825547806804,0.29806895047977755
1140.0,164.49404221532635,430.9042804198466,8.92977058048111,2486.865248166509,1.4782093775542737,0.8147128583335799,0.31185067183783555
1160.0,164.36608750267996,432.689298222231,9.130905416575155,2511.4348332276813,1.4688146712171746,0.8121033479285554,0.325943844224974
1180.0,164.0471620667932,434.2095194316755,9.332017182760556,2535.860022804919,1.4590479089187385,0.8093860789940609,0.34034846764119275
1200.0,163.53471207798836,435.30959625248755,9.533099324107026,2560.134796474819,1.4489760927338506,0.8065634581854345,0.35506454208649135
1220.0,162.82597102752877,435.9884659101776,9.734146161551122,2584.253635381625,1.4386520659118198,0.8036707735816204,0.37009206756087076
1240.0,161.91796184954063,436.2443886177361,9.935152815626918,2608.2116066947797,1.4281300154538457,0.8006983033019547,0.3854310440643299
1260.0,160.80749159153365,436.07493172132865,10.136115141249986,2632.0044089560647,1.4174676075839359,0.7976867136796855,0.40108147159686924
1280.0,159.49113949207674,435.476948528413,10.337029671633251,2655.6283888111566,1.4066977532282512,0.7946159103336237,0.41704335015848926
1300.0,157.96523905171313,434.60310602696086,10.537893569766402,2679.0805371514166,1.39585371540854,0.7915278609567216,0.4333166797491891
1320.0,156.22585349389865,432.9790834218942,10.738704586165982,2702.35847078319,1.3849670542383294,0.7884017928177637,0.44990146036896916
1340.0,154.26874954473843,430.91161588806915,10.939461021821113,2725.4604042645897,1.3740651173076899,0.7852666688671663,0.46679769201782984
